vehicle_id,occupant_id,seat_location_id,seat_position,occupant_role,seat_track_position,posture,seat_type,seat_performance,belt_availability,belt_use,belt_failure,belt_anchorage,total_surprisal_bits,total_backoff_level,seat_position_surprisal_bits,occupant_role_surprisal_bits,seat_track_position_surprisal_bits,seat_type_surprisal_bits,posture_surprisal_bits,belt_use_surprisal_bits,belt_anchorage_surprisal_bits,belt_failure_surprisal_bits,belt_availability_surprisal_bits,seat_performance_surprisal_bits,anomaly_score_bits,anomaly_percentile,anomaly_tier,dominant_contributor,dominant_contribution_bits,dominant_contribution_percent,occupant_state_vector
110161948.0,110161949.0,110161981.0,FRONT LEFT SIDE,DRIVER,SEAT AT FORWARD MOST POSITION,NORMAL POSTURE,BUCKET,NO FAILURE,LAP AND SHOULDER BELT,NONE USED/AVAILABLE,NOT USED/AVAILABLE,FULL DOWN,10.513121656362136,0,0.672794206367598,-0.0,4.1364502968912245,0.308752706139629,0.17402939977504894,2.8744691179161412,1.559619652606693,-0.0,-0.0,0.7870062766658016,10.513121656362136,61.09293193717278,BASELINE,seat_track_position,4.1364502968912245,39.345595267491305,FRONT LEFT SIDE|DRIVER|SEAT AT FORWARD MOST POSITION|NORMAL POSTURE|BUCKET|NO FAILURE|LAP AND SHOULDER BELT|NONE USED/AVAILABLE|NOT USED/AVAILABLE|FULL DOWN
110161948.0,110161980.0,110161985.0,SECOND RIGHT,PASSENGER,NOT ADJUSTABLE SEAT TRACK,NORMAL POSTURE,BENCH WITH FOLD BACK,NO FAILURE,LAP AND SHOULDER BELT,NONE USED/AVAILABLE,NOT USED/AVAILABLE,NO UPPER ANCHOR,7.551131469120578,0,3.870069695954866,-0.0,0.08530731262450643,1.3741243060127908,0.7243655573865726,1.203533394085132,0.06817150264157922,-0.0,-0.0,0.225559700415131,7.551131469120578,26.29253926701571,BASELINE,seat_position,3.870069695954866,51.25152054074332,SECOND RIGHT|PASSENGER|NOT ADJUSTABLE SEAT TRACK|NORMAL POSTURE|BENCH WITH FOLD BACK|NO FAILURE|LAP AND SHOULDER BELT|NONE USED/AVAILABLE|NOT USED/AVAILABLE|NO UPPER ANCHOR
110162077.0,110162078.0,110162120.0,FRONT LEFT SIDE,DRIVER,SEAT AT REAR MOST POSITION,NORMAL POSTURE,BUCKET,NO FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL DOWN,5.825207512044061,0,0.672794206367598,-0.0,2.0250513720553673,0.3717886094140868,0.2646206567257453,0.394052474149508,1.532180363642271,0.016927121558869277,-0.0,0.5477927081306153,5.825207512044061,8.769633507853403,BASELINE,seat_track_position,2.0250513720553673,34.76359198995777,FRONT LEFT SIDE|DRIVER|SEAT AT REAR MOST POSITION|NORMAL POSTURE|BUCKET|NO FAILURE|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL DOWN
110162228.0,110162234.0,110162268.0,FRONT LEFT SIDE,DRIVER,SEAT AT MIDDLE TRACK POSITION,NORMAL POSTURE,BUCKET,NO FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,NO UPPER ANCHOR,7.608027604639634,0,0.672794206367598,-0.0,2.1835354329609653,0.31595772557084123,0.20546911829997946,0.3336791005797198,3.209233056391156,0.016927121558869277,-0.0,0.6704318429105057,7.608027604639634,27.339659685863875,BASELINE,belt_anchorage,3.209233056391156,42.182195217510206,FRONT LEFT SIDE|DRIVER|SEAT AT MIDDLE TRACK POSITION|NORMAL POSTURE|BUCKET|NO FAILURE|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|NO UPPER ANCHOR
110162468.0,110162471.0,110162510.0,FRONT LEFT SIDE,DRIVER,SEAT AT REAR MOST POSITION,NORMAL POSTURE,BUCKET,NO FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL UP,5.717200322425695,0,0.672794206367598,-0.0,2.0250513720553673,0.3717886094140868,0.2646206567257453,0.394052474149508,1.4241731740239048,0.016927121558869277,-0.0,0.5477927081306153,5.717200322425695,5.366492146596859,BASELINE,seat_track_position,2.0250513720553673,35.420332642746686,FRONT LEFT SIDE|DRIVER|SEAT AT REAR MOST POSITION|NORMAL POSTURE|BUCKET|NO FAILURE|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL UP
110162468.0,110162472.0,110162511.0,FRONT RIGHT SIDE,PASSENGER,SEAT AT FORWARD MOST POSITION,NORMAL POSTURE,BUCKET,NO FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL UP,11.796136702282073,0,2.2509993409134457,-0.0,5.419538891513785,0.3219280948873623,1.0,0.777607578663552,1.4241731740239048,0.016927121558869277,-0.0,0.5849625007211563,11.796136702282073,75.09816753926701,MODERATE,seat_track_position,5.419538891513785,45.94333745272149,FRONT RIGHT SIDE|PASSENGER|SEAT AT FORWARD MOST POSITION|NORMAL POSTURE|BUCKET|NO FAILURE|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL UP
110162468.0,110162609.0,110162512.0,SECOND LEFT,PASSENGER,NOT ADJUSTABLE SEAT TRACK,OTHER ABNORMAL POSTURE,BENCH,DEFORMED BY INTRUSION,LAP AND SHOULDER BELT,NONE USED/AVAILABLE,NOT USED/AVAILABLE,NO UPPER ANCHOR,12.235931793774874,0,4.085575731706074,-0.0,0.0909736600474904,1.9090263399525094,1.9068905956085185,1.4918530963296746,0.06711419585853691,-0.0,-0.0,2.6844981742720706,12.235931793774874,79.05759162303664,MODERATE,seat_position,4.085575731706074,33.38998451907555,SECOND LEFT|PASSENGER|NOT ADJUSTABLE SEAT TRACK|OTHER ABNORMAL POSTURE|BENCH|DEFORMED BY INTRUSION|LAP AND SHOULDER BELT|NONE USED/AVAILABLE|NOT USED/AVAILABLE|NO UPPER ANCHOR
110162468.0,110162473.0,110162514.0,SECOND RIGHT,PASSENGER,NOT ADJUSTABLE SEAT TRACK,OTHER ABNORMAL POSTURE,BENCH,DEFORMED BY INTRUSION,LAP AND SHOULDER BELT,NONE USED/AVAILABLE,NOT USED/AVAILABLE,NO UPPER ANCHOR,12.32309193183517,0,3.870069695954866,-0.0,0.08530731262450643,1.8406921059317167,1.8744691179161412,1.3890422907458992,0.06711419585853691,-0.0,-0.0,3.1963972128035034,12.32309193183517,79.48298429319371,MODERATE,seat_position,3.870069695954866,31.405021705283424,SECOND RIGHT|PASSENGER|NOT ADJUSTABLE SEAT TRACK|OTHER ABNORMAL POSTURE|BENCH|DEFORMED BY INTRUSION|LAP AND SHOULDER BELT|NONE USED/AVAILABLE|NOT USED/AVAILABLE|NO UPPER ANCHOR
110162943.0,110162947.0,110162978.0,FRONT LEFT SIDE,DRIVER,SEAT BETWEEN MIDDLE AND REAR,NORMAL POSTURE,BUCKET,NO FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,NO FAILURE,FULL UP,5.421524737431055,0,0.672794206367598,-0.0,1.8171717804178111,0.2962999526953211,0.21373406051926952,0.34407966234536597,1.4241731740239048,0.016927121558869277,-0.0,0.6363447795029143,5.421524737431055,1.030759162303665,BASELINE,seat_track_position,1.8171717804178111,33.517725518649264,FRONT LEFT SIDE|DRIVER|SEAT BETWEEN MIDDLE AND REAR|NORMAL POSTURE|BUCKET|NO FAILURE|LAP AND SHOULDER BELT|LAP AND SHOULDER|NO FAILURE|FULL UP
110162943.0,110162979.0,110162980.0,SECOND RIGHT,PASSENGER,NOT ADJUSTABLE SEAT TRACK,NOT COLLECTED/UNKNOWN,SPLIT BENCH WITH FOLD BACK,NO FAILURE,LAP AND SHOULDER BELT,NONE USED/AVAILABLE,NOT USED/AVAILABLE,FULL DOWN,12.66286430454181,0,3.870069695954866,-0.0,0.08530731262450643,2.300123724569014,1.7369655941662063,1.6214883767462702,2.584962500721156,-0.0,-0.0,0.46394709975979026,12.66286430454181,81.80628272251309,MODERATE,seat_position,3.870069695954866,30.56235621641134,SECOND RIGHT|PASSENGER|NOT ADJUSTABLE SEAT TRACK|NOT COLLECTED/UNKNOWN|SPLIT BENCH WITH FOLD BACK|NO FAILURE|LAP AND SHOULDER BELT|NONE USED/AVAILABLE|NOT USED/AVAILABLE|FULL DOWN
