seat_position,occupant_role,seat_track_position,posture,seat_type,seat_performance,belt_availability,belt_use,belt_failure,belt_anchorage,observations,mean_anomaly_score_bits,maximum_anomaly_score_bits
FRONT LEFT SIDE,DRIVER,SEAT BETWEEN MIDDLE AND REAR,NOT COLLECTED/UNKNOWN,BUCKET,TRACK/ANCHOR FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,OTHER ANCHOR SEPARATION,FULL UP,1,25.247798198796534,25.247798198796534
FRONT RIGHT SIDE,PASSENGER,SEAT AT MIDDLE TRACK POSITION,LYING - SEAT BACK,BUCKET WITH FOLD BACK,NO FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,NOT USED/AVAILABLE,NO UPPER ANCHOR,1,24.38379424011577,24.38379424011577
FRONT RIGHT SIDE,PASSENGER,SEAT AT REAR MOST POSITION,NORMAL POSTURE,BUCKET,TRACK/ANCHOR FAILURE,LAP AND SHOULDER BELT,LAP AND SHOULDER,TORN WEBBING,POSITION UNKNOWN,1,24.260663364674727,24.260663364674727
FRONT LEFT SIDE,DRIVER,SEAT AT REAR MOST POSITION,NOT COLLECTED/UNKNOWN,BUCKET,UNKNOWN/UNMAPPED,LAP AND SHOULDER BELT,LAP AND SHOULDER,NOT COLLECTED/UNKNOWN,POSITION UNKNOWN,1,23.44926648520188,23.44926648520188
FRONT RIGHT SIDE,PASSENGER,SEAT BETWEEN FORWARD AND MIDDLE,NORMAL POSTURE,BUCKET,UNKNOWN/UNMAPPED,LAP AND SHOULDER BELT,LAP AND SHOULDER,TORN WEBBING,MID POSITION,1,22.651658163331124,22.651658163331124
FRONT LEFT SIDE,DRIVER,SEAT AT MIDDLE TRACK POSITION,NORMAL POSTURE,BUCKET,UNKNOWN/UNMAPPED,LAP AND SHOULDER BELT,LAP AND SHOULDER,OTHER FAILURE,MID POSITION,1,21.33628061706934,21.33628061706934
SECOND LEFT,PASSENGER,NOT ADJUSTABLE SEAT TRACK,OTHER ABNORMAL POSTURE,BENCH WITH SEPARATE BACK CUSHIONS,DEFORMED BY INTRUSION,LAP AND SHOULDER BELT,LAP AND SHOULDER WITH CHILD SEAT,BROKEN BUCKLE/LATCH,NO UPPER ANCHOR,1,21.25514846967676,21.25514846967676
FRONT LEFT SIDE,DRIVER,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,UNKNOWN/UNMAPPED,UNKNOWN/UNMAPPED,LAP AND SHOULDER BELT,LAP AND SHOULDER,NOT COLLECTED/UNKNOWN,POSITION UNKNOWN,1,21.11464722857435,21.11464722857435
FRONT RIGHT SIDE,PASSENGER,SEAT BETWEEN FORWARD AND MIDDLE,NOT COLLECTED/UNKNOWN,BUCKET,NO FAILURE,NONE AVAILABLE,NONE USED/AVAILABLE,NOT USED/AVAILABLE,NO SHOULDER BELT,1,20.69524056312628,20.69524056312628
FRONT LEFT SIDE,DRIVER,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,UNKNOWN/UNMAPPED,UNKNOWN/UNMAPPED,LAP AND SHOULDER BELT,LAP AND SHOULDER,NOT COLLECTED/UNKNOWN,NO UPPER ANCHOR,1,20.11464722857435,20.11464722857435
