vehicle_id,occupant_count,mean_anomaly_score_bits,median_anomaly_score_bits,maximum_anomaly_score_bits,std_anomaly_score_bits,minimum_anomaly_score_bits,baseline_occupants,moderate_occupants,elevated_occupants,high_occupants,extreme_occupants,anomalous_occupants,high_or_extreme_occupants,extreme_occupant_count,anomalous_occupant_fraction,high_or_extreme_fraction,maximum_anomaly_occupant_id,maximum_anomaly_dominant_contributor,maximum_anomaly_tier,vehicle_dominant_contributor,vehicle_anomaly_tier,vehicle_anomaly_score_bits,multi_occupant_anomaly,multiple_high_or_extreme,vehicle_anomaly_percentile
852139685.0,1,25.247798198796534,25.247798198796534,25.247798198796534,0.0,25.247798198796534,0,0,0,0,1,1,1,1,1.0,1.0,852139686.0,belt_failure,EXTREME,belt_failure,EXTREME,25.247798198796534,False,False,100.0
852122276.0,2,16.2603534080305,16.2603534080305,24.38379424011577,11.488280197870369,8.13691257594523,1,0,0,0,1,1,1,1,0.5,0.5,852122279.0,belt_failure,EXTREME,seat_type,EXTREME,24.38379424011577,False,False,99.94786235662147
341206097.0,2,17.694772710943454,17.694772710943454,24.260663364674727,9.285571611565514,11.12888205721218,1,0,0,0,1,1,1,1,0.5,0.5,341206100.0,belt_failure,EXTREME,seat_performance,EXTREME,24.260663364674727,False,False,99.89572471324296
791635427.0,1,23.44926648520188,23.44926648520188,23.44926648520188,0.0,23.44926648520188,0,0,0,0,1,1,1,1,1.0,1.0,791635430.0,belt_failure,EXTREME,belt_failure,EXTREME,23.44926648520188,False,False,99.84358706986444
337163974.0,3,12.886277411867631,10.585649334840715,22.651658163331124,8.842456764394335,5.421524737431055,2,0,0,0,1,1,1,1,0.3333333333333333,0.3333333333333333,337163977.0,belt_failure,EXTREME,seat_track_position,EXTREME,22.651658163331124,False,False,99.79144942648593
897005965.0,5,13.350410046617242,10.661870308952253,21.33628061706934,5.98099912100936,6.878001477098212,3,0,0,1,1,2,2,1,0.4,0.4,897005967.0,belt_failure,EXTREME,seat_position,EXTREME,21.33628061706934,True,True,99.7393117831074
599000079.0,5,11.324488099024236,10.577428828035748,21.25514846967676,6.092376383564634,5.9309749118907495,3,1,0,0,1,2,1,1,0.4,0.2,599002545.0,belt_failure,EXTREME,seat_position,EXTREME,21.25514846967676,True,False,99.68717413972888
897003302.0,1,21.11464722857435,21.11464722857435,21.11464722857435,0.0,21.11464722857435,0,0,0,0,1,1,1,1,1.0,1.0,897000825.0,belt_failure,EXTREME,belt_failure,EXTREME,21.11464722857435,False,False,99.63503649635037
554157448.0,3,11.805282663567032,8.897639705302428,20.69524056312628,7.850918133744575,5.822967722272384,2,0,0,0,1,1,1,1,0.3333333333333333,0.3333333333333333,701157876.0,belt_anchorage,EXTREME,seat_track_position,EXTREME,20.69524056312628,False,False,99.58289885297185
385084440.0,1,20.11464722857435,20.11464722857435,20.11464722857435,0.0,20.11464722857435,0,0,0,0,1,1,1,1,1.0,1.0,385084443.0,belt_failure,EXTREME,belt_failure,EXTREME,20.11464722857435,False,False,99.53076120959332
897010890.0,1,20.08916409766132,20.08916409766132,20.08916409766132,0.0,20.08916409766132,0,0,0,0,1,1,1,1,1.0,1.0,897010891.0,belt_failure,EXTREME,belt_failure,EXTREME,20.08916409766132,False,False,99.47862356621481
897010897.0,3,14.828850410427483,14.044468173976489,19.85643372246524,4.68490153686292,10.585649334840715,1,0,1,0,1,2,1,1,0.6666666666666666,0.3333333333333333,897010898.0,posture,EXTREME,posture,EXTREME,19.85643372246524,True,False,99.42648592283628
349212241.0,1,19.840247503769568,19.840247503769568,19.840247503769568,0.0,19.840247503769568,0,0,0,0,1,1,1,1,1.0,1.0,349212244.0,belt_failure,EXTREME,belt_failure,EXTREME,19.840247503769568,False,False,99.37434827945776
349190040.0,1,19.71878467728129,19.71878467728129,19.71878467728129,0.0,19.71878467728129,0,0,0,0,1,1,1,1,1.0,1.0,349190042.0,belt_anchorage,EXTREME,belt_anchorage,EXTREME,19.71878467728129,False,False,99.32221063607925
341206121.0,1,19.61853700284065,19.61853700284065,19.61853700284065,0.0,19.61853700284065,0,0,0,0,1,1,1,1,1.0,1.0,341206123.0,belt_failure,EXTREME,belt_failure,EXTREME,19.61853700284065,False,False,99.27007299270073
328084345.0,1,19.5826128061912,19.5826128061912,19.5826128061912,0.0,19.5826128061912,0,0,0,0,1,1,1,1,1.0,1.0,328084347.0,belt_use,EXTREME,belt_use,EXTREME,19.5826128061912,False,False,99.2179353493222
359565546.0,1,19.43473135082337,19.43473135082337,19.43473135082337,0.0,19.43473135082337,0,0,0,0,1,1,1,1,1.0,1.0,359565547.0,posture,EXTREME,posture,EXTREME,19.43473135082337,False,False,99.16579770594369
360244815.0,3,12.323756904725492,12.130300462092704,19.419445514652715,7.000965331134026,5.421524737431055,1,1,0,0,1,2,1,1,0.6666666666666666,0.3333333333333333,360244817.0,seat_track_position,EXTREME,seat_track_position,EXTREME,19.419445514652715,True,False,99.11366006256517
651000330.0,2,17.5832344127587,17.5832344127587,19.37571566311928,2.534951294559414,15.790753162398122,0,0,0,1,1,2,2,1,1.0,1.0,651000331.0,seat_type,EXTREME,seat_type,EXTREME,19.37571566311928,True,True,99.06152241918666
556148125.0,2,16.003480731175067,16.003480731175067,19.179318450315773,4.491312774304824,12.82764301203436,0,1,0,0,1,2,1,1,1.0,0.5,556148127.0,seat_type,EXTREME,seat_type,EXTREME,19.179318450315773,True,False,99.00938477580813
325115282.0,3,13.660913680576988,14.547927401143602,18.971248275979743,5.804893323957522,7.4635653646076126,1,0,1,0,1,2,1,1,0.6666666666666666,0.3333333333333333,325115287.0,belt_use,EXTREME,belt_use,EXTREME,18.971248275979743,True,False,98.95724713242961
627081207.0,1,18.8924935203154,18.8924935203154,18.8924935203154,0.0,18.8924935203154,0,0,0,0,1,1,1,1,1.0,1.0,627081209.0,posture,EXTREME,posture,EXTREME,18.8924935203154,False,False,98.90510948905109
651121802.0,6,12.731487093292245,12.08638978203438,18.86248269503934,3.4734631506236515,8.313493993353545,3,2,0,0,1,3,1,1,0.5,0.16666666666666666,651121806.0,seat_position,EXTREME,seat_position,EXTREME,18.86248269503934,True,False,98.85297184567257
852193699.0,2,16.294511683212512,16.294511683212512,18.822209989920477,3.574705226933911,13.766813376504548,0,1,0,0,1,2,1,1,1.0,0.5,852193701.0,posture,EXTREME,posture,EXTREME,18.822209989920477,True,False,98.80083420229406
561104968.0,1,18.813550041077026,18.813550041077026,18.813550041077026,0.0,18.813550041077026,0,0,0,0,1,1,1,1,1.0,1.0,561104970.0,belt_anchorage,EXTREME,belt_anchorage,EXTREME,18.813550041077026,False,False,98.74869655891554
627084296.0,1,18.811321251755498,18.811321251755498,18.811321251755498,0.0,18.811321251755498,0,0,0,0,1,1,1,1,1.0,1.0,627084298.0,seat_track_position,EXTREME,seat_track_position,EXTREME,18.811321251755498,False,False,98.69655891553701
897000798.0,2,17.423518081840314,17.423518081840314,18.77710117287211,1.9142555651360664,16.069934990808513,0,0,0,1,1,2,2,1,1.0,1.0,134004841.0,seat_type,EXTREME,belt_anchorage,EXTREME,18.77710117287211,True,True,98.6444212721585
344062928.0,3,11.464297612816774,7.99679527699384,18.72253333711519,6.287893840584545,7.673564224341288,2,0,0,0,1,1,1,1,0.3333333333333333,0.3333333333333333,344062929.0,seat_performance,EXTREME,seat_position,EXTREME,18.72253333711519,False,False,98.59228362877998
599000008.0,3,15.852913834646813,17.0332126696579,18.64746589245552,3.535680002763383,11.878062941827016,0,1,0,1,1,3,2,1,1.0,0.6666666666666666,599000240.0,seat_position,EXTREME,belt_anchorage,EXTREME,18.64746589245552,True,True,98.54014598540147
339330233.0,1,18.508461592452026,18.508461592452026,18.508461592452026,0.0,18.508461592452026,0,0,0,0,1,1,1,1,1.0,1.0,339330235.0,belt_failure,EXTREME,belt_failure,EXTREME,18.508461592452026,False,False,98.48800834202294
556175143.0,5,11.550123371704156,13.00374688573232,18.466172076934008,5.032580253822452,5.9309749118907495,2,2,0,0,1,3,1,1,0.6,0.2,556175145.0,seat_position,EXTREME,seat_track_position,EXTREME,18.466172076934008,True,False,98.43587069864442
852115259.0,2,16.917998351233713,16.917998351233713,18.447445195760498,2.162964470458512,15.38855150670693,0,0,1,1,0,2,1,0,1.0,0.5,852115262.0,seat_track_position,HIGH,seat_track_position,HIGH,18.447445195760498,True,False,98.38373305526589
897000794.0,2,15.932798444675715,15.932798444675715,18.349243451758085,3.417369301744638,13.516353437593343,0,1,0,1,0,2,1,0,1.0,0.5,6511.0,belt_anchorage,HIGH,belt_anchorage,HIGH,18.349243451758085,True,False,98.33159541188738
791828356.0,1,18.33541373724557,18.33541373724557,18.33541373724557,0.0,18.33541373724557,0,0,0,1,0,1,1,0,1.0,1.0,791828357.0,seat_performance,HIGH,seat_performance,HIGH,18.33541373724557,False,False,98.27945776850886
599000018.0,2,15.493144983157222,15.493144983157222,18.291998179669815,3.9581761495993972,12.69429178664463,0,1,0,1,0,2,1,0,1.0,0.5,599000024.0,belt_anchorage,HIGH,belt_anchorage,HIGH,18.291998179669815,True,False,98.22732012513035
897010850.0,1,18.090155575222933,18.090155575222933,18.090155575222933,0.0,18.090155575222933,0,0,0,1,0,1,1,0,1.0,1.0,897010851.0,posture,HIGH,posture,HIGH,18.090155575222933,False,False,98.17518248175182
852186221.0,2,15.186063207223423,15.186063207223423,17.94461874638891,3.901186656047261,12.427507668057933,0,1,0,1,0,2,1,0,1.0,0.5,852186224.0,belt_anchorage,HIGH,belt_use,HIGH,17.94461874638891,True,False,98.1230448383733
651119337.0,1,17.890980673914815,17.890980673914815,17.890980673914815,0.0,17.890980673914815,0,0,0,1,0,1,1,0,1.0,1.0,651119338.0,belt_failure,HIGH,belt_failure,HIGH,17.890980673914815,False,False,98.07090719499479
328080762.0,4,16.15354390953833,16.048083271011457,17.872989069407883,1.5570925994708378,14.645020026722532,0,0,2,2,0,4,2,0,1.0,0.5,328080764.0,seat_performance,HIGH,seat_performance,HIGH,17.872989069407883,True,True,98.01876955161627
554122870.0,1,17.855911744032433,17.855911744032433,17.855911744032433,0.0,17.855911744032433,0,0,0,1,0,1,1,0,1.0,1.0,554122873.0,belt_anchorage,HIGH,belt_anchorage,HIGH,17.855911744032433,False,False,97.96663190823774
852191707.0,1,17.747353829478058,17.747353829478058,17.747353829478058,0.0,17.747353829478058,0,0,0,1,0,1,1,0,1.0,1.0,852191708.0,seat_type,HIGH,seat_type,HIGH,17.747353829478058,False,False,97.91449426485923
433468633.0,1,17.723638966539585,17.723638966539585,17.723638966539585,0.0,17.723638966539585,0,0,0,1,0,1,1,0,1.0,1.0,433468635.0,seat_type,HIGH,seat_type,HIGH,17.723638966539585,False,False,97.83628779979145
554139463.0,1,17.723638966539585,17.723638966539585,17.723638966539585,0.0,17.723638966539585,0,0,0,1,0,1,1,0,1.0,1.0,554139465.0,seat_track_position,HIGH,seat_track_position,HIGH,17.723638966539585,False,False,97.83628779979145
554123952.0,1,17.658553375067584,17.658553375067584,17.658553375067584,0.0,17.658553375067584,0,0,0,1,0,1,1,0,1.0,1.0,554123954.0,belt_anchorage,HIGH,belt_anchorage,HIGH,17.658553375067584,False,False,97.75808133472367
852129164.0,1,17.599796641064202,17.599796641064202,17.599796641064202,0.0,17.599796641064202,0,0,0,1,0,1,1,0,1.0,1.0,852129165.0,seat_type,HIGH,seat_type,HIGH,17.599796641064202,False,False,97.70594369134515
359816812.0,5,12.16277944899389,12.58450816363827,17.59535073603301,3.547927756338311,8.80092455784991,2,2,0,1,0,3,1,0,0.6,0.2,359816814.0,seat_position,HIGH,seat_position,HIGH,17.59535073603301,True,False,97.65380604796663
349207455.0,1,17.55260833567288,17.55260833567288,17.55260833567288,0.0,17.55260833567288,0,0,0,1,0,1,1,0,1.0,1.0,349207456.0,seat_performance,HIGH,seat_performance,HIGH,17.55260833567288,False,False,97.60166840458811
556169833.0,1,17.51401808999517,17.51401808999517,17.51401808999517,0.0,17.51401808999517,0,0,0,1,0,1,1,0,1.0,1.0,556169834.0,seat_performance,HIGH,seat_performance,HIGH,17.51401808999517,False,False,97.5495307612096
651119286.0,6,14.168364841045056,13.10494950981473,17.512888575841036,2.7368922960409714,11.90757742972808,0,3,1,2,0,6,2,0,1.0,0.3333333333333333,651119288.0,seat_position,HIGH,seat_position,HIGH,17.512888575841036,True,True,97.49739311783108
