anomaly_signature,event_count,event_percentage
BASELINE: seat track position dominates anomaly (33.5% contribution),229,2.29
BASELINE: seat track position dominates anomaly (32.9% contribution),206,2.06
BASELINE: seat track position dominates anomaly (35.4% contribution),198,1.9800000000000002
BASELINE: seat track position dominates anomaly (34.8% contribution),179,1.79
BASELINE: seat track position dominates anomaly (37.5% contribution),177,1.77
BASELINE: seat track position dominates anomaly (36.8% contribution),154,1.54
BASELINE: seat track position dominates anomaly (43.4% contribution),141,1.41
BASELINE: seat track position dominates anomaly (42.7% contribution),134,1.34
BASELINE: seat position dominates anomaly (32.7% contribution),110,1.0999999999999999
BASELINE: seat position dominates anomaly (32.2% contribution),97,0.97
BASELINE: belt anchorage dominates anomaly (42.9% contribution),85,0.8500000000000001
BASELINE: belt anchorage dominates anomaly (40.6% contribution),70,0.7000000000000001
BASELINE: seat position dominates anomaly (33.2% contribution),70,0.7000000000000001
BASELINE: seat position dominates anomaly (31.7% contribution),69,0.69
BASELINE: belt anchorage dominates anomaly (41.2% contribution),68,0.6799999999999999
BASELINE: belt anchorage dominates anomaly (42.2% contribution),64,0.64
BASELINE: seat position dominates anomaly (30.6% contribution),61,0.61
BASELINE: belt use dominates anomaly (30.6% contribution),61,0.61
BASELINE: seat position dominates anomaly (51.3% contribution),61,0.61
BASELINE: belt anchorage dominates anomaly (42.8% contribution),60,0.6
BASELINE: seat position dominates anomaly (31.1% contribution),60,0.6
BASELINE: seat performance dominates anomaly (32.0% contribution),59,0.59
BASELINE: belt use dominates anomaly (27.8% contribution),56,0.5599999999999999
BASELINE: seat performance dominates anomaly (31.6% contribution),53,0.53
BASELINE: belt anchorage dominates anomaly (44.5% contribution),52,0.52
BASELINE: belt use dominates anomaly (30.4% contribution),51,0.51
BASELINE: seat type dominates anomaly (38.3% contribution),51,0.51
BASELINE: seat track position dominates anomaly (53.2% contribution),51,0.51
BASELINE: seat position dominates anomaly (50.4% contribution),50,0.5
BASELINE: seat performance dominates anomaly (34.7% contribution),48,0.48
BASELINE: belt anchorage dominates anomaly (39.2% contribution),48,0.48
BASELINE: seat performance dominates anomaly (32.4% contribution),47,0.47000000000000003
BASELINE: belt use dominates anomaly (28.0% contribution),43,0.43
BASELINE: belt use dominates anomaly (29.6% contribution),43,0.43
BASELINE: seat performance dominates anomaly (35.2% contribution),43,0.43
BASELINE: belt anchorage dominates anomaly (40.8% contribution),42,0.42
BASELINE: seat performance dominates anomaly (32.9% contribution),42,0.42
BASELINE: seat performance dominates anomaly (39.7% contribution),41,0.41000000000000003
BASELINE: belt use dominates anomaly (29.4% contribution),41,0.41000000000000003
BASELINE: seat track position dominates anomaly (52.5% contribution),41,0.41000000000000003
BASELINE: posture dominates anomaly (33.5% contribution),40,0.4
BASELINE: posture dominates anomaly (33.1% contribution),40,0.4
BASELINE: belt anchorage dominates anomaly (35.0% contribution),40,0.4
