event_time,event_id,vehicle_id,occupant_id,seat_position,occupant_role,posture,seat_track_position,seat_type,seat_performance,belt_use,belt_failure,belt_anchorage,total_surprisal_bits,occupant_anomaly_percentile,anomaly_tier,anomaly_severity,dominant_contributor,dominant_contribution_percent,top_3_contributors,anomaly_signature,source_type,source_reference,model_type,model_version
2026-01-01T00:00:00,OCC-00000001,SIM-866665,OCC-26104133,FRONT LEFT SIDE,DRIVER,NOT COLLECTED/UNKNOWN,SEAT AT REAR MOST POSITION,BUCKET,NO FAILURE,LAP AND SHOULDER,NO FAILURE,FULL UP,8.205486803735178,35.215,BASELINE,MODERATE,posture,33.54958948666021,posture:33.55% | seat_track_position:24.68% | belt_anchorage:17.36%,BASELINE: posture dominates anomaly (33.5% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:01,OCC-00000002,SIM-675921,OCC-35424922,FRONT RIGHT SIDE,PASSENGER,NORMAL POSTURE,SEAT BETWEEN MIDDLE AND REAR,BUCKET,NO FAILURE,LAP AND SHOULDER,NO FAILURE,FULL DOWN,6.878001477098211,15.435,BASELINE,LOW,seat_position,32.72752046373694,seat_position:32.73% | seat_track_position:23.24% | belt_anchorage:22.28%,BASELINE: seat position dominates anomaly (32.7% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:02,OCC-00000003,SIM-847268,OCC-11155643,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT BETWEEN FORWARD AND MIDDLE,BUCKET,NO FAILURE,LAP AND SHOULDER,NO FAILURE,NO UPPER ANCHOR,7.86954782022098,31.455,BASELINE,LOW,belt_anchorage,40.78039970917974,belt_anchorage:40.78% | seat_track_position:33.58% | seat_position:8.55%,BASELINE: belt anchorage dominates anomaly (40.8% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:03,OCC-00000004,SIM-502931,OCC-51683140,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT BETWEEN MIDDLE AND REAR,BUCKET,NO FAILURE,LAP AND SHOULDER,NO FAILURE,FULL DOWN,5.52953192704942,3.325,BASELINE,LOW,seat_track_position,32.86303080245459,seat_track_position:32.86% | belt_anchorage:27.71% | seat_position:12.17%,BASELINE: seat track position dominates anomaly (32.9% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:04,OCC-00000005,SIM-525484,OCC-62202560,FRONT RIGHT SIDE,PASSENGER,NORMAL POSTURE,SEAT BETWEEN FORWARD AND MIDDLE,BUCKET,NO FAILURE,LAP AND SHOULDER,NO FAILURE,FULL UP,8.96616429315149,42.39,BASELINE,MODERATE,seat_track_position,42.41353835073027,seat_track_position:42.41% | seat_position:25.11% | belt_anchorage:15.88%,BASELINE: seat track position dominates anomaly (42.4% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:05,OCC-00000006,SIM-270015,OCC-81740407,FRONT RIGHT SIDE,PASSENGER,NORMAL POSTURE,SEAT AT REAR MOST POSITION,BUCKET,NO FAILURE,NONE USED/AVAILABLE,NOT USED/AVAILABLE,POSITION UNKNOWN,12.900224627030465,83.56,ELEVATED,ELEVATED,belt_anchorage,40.0479633013678,belt_anchorage:40.05% | belt_use:19.10% | seat_position:17.45%,ELEVATED: belt anchorage dominates anomaly (40.0% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:06,OCC-00000007,SIM-763266,OCC-38281431,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT BETWEEN MIDDLE AND REAR,BUCKET WITH FOLD BACK,NO FAILURE,LAP AND SHOULDER,NO FAILURE,NO UPPER ANCHOR,7.7281851028374176,29.185,BASELINE,LOW,seat_type,44.18938539690265,seat_type:44.19% | seat_track_position:23.51% | seat_position:8.71%,BASELINE: seat type dominates anomaly (44.2% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:07,OCC-00000008,SIM-610344,OCC-19189940,FRONT LEFT SIDE,DRIVER,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,UNKNOWN/UNMAPPED,UNKNOWN/UNMAPPED,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,9.501162933807686,51.635,MODERATE,MODERATE,seat_track_position,54.48505833622554,seat_track_position:54.49% | belt_availability:21.67% | seat_type:14.06%,MODERATE: seat track position dominates anomaly (54.5% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:08,OCC-00000009,SIM-329526,OCC-94790877,FRONT RIGHT SIDE,PASSENGER,NORMAL POSTURE,SEAT AT REAR MOST POSITION,BUCKET WITH FOLD BACK,DEFORMED BY OTHER OCCUPANT,LAP AND SHOULDER,NO FAILURE,NO UPPER ANCHOR,12.883649093972302,83.42,ELEVATED,ELEVATED,seat_performance,35.58745249330225,seat_performance:35.59% | seat_type:24.13% | seat_position:17.47%,ELEVATED: seat performance dominates anomaly (35.6% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:09,OCC-00000010,SIM-808953,OCC-23065633,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT BETWEEN MIDDLE AND REAR,BUCKET,DEFORMED BY OCCUPANT,LAP AND SHOULDER,NO FAILURE,FULL DOWN,8.0404938463268,34.12,BASELINE,MODERATE,seat_performance,39.14320138704044,seat_performance:39.14% | seat_track_position:22.60% | belt_anchorage:19.06%,BASELINE: seat performance dominates anomaly (39.1% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:10,OCC-00000011,SIM-400519,OCC-12944653,FRONT LEFT SIDE,DRIVER,NOT COLLECTED/UNKNOWN,SEAT AT REAR MOST POSITION,BUCKET,NO FAILURE,LAP AND SHOULDER,NO FAILURE,FULL DOWN,8.313493993353545,35.915,BASELINE,MODERATE,posture,33.113720178737324,posture:33.11% | seat_track_position:24.36% | belt_anchorage:18.43%,BASELINE: posture dominates anomaly (33.1% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:11,OCC-00000012,SIM-175518,OCC-36044886,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT BETWEEN MIDDLE AND REAR,BUCKET,NO FAILURE,NONE USED/AVAILABLE,NOT USED/AVAILABLE,FULL DOWN,7.4635653646076126,22.9,BASELINE,LOW,belt_use,30.382274713517184,belt_use:30.38% | seat_track_position:24.35% | belt_anchorage:20.90%,BASELINE: belt use dominates anomaly (30.4% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:12,OCC-00000013,SIM-924075,OCC-40940698,FRONT LEFT SIDE,DRIVER,OTHER ABNORMAL POSTURE,SEAT AT MIDDLE TRACK POSITION,BUCKET,DEFORMED BY OCCUPANT,LAP AND SHOULDER,NO FAILURE,FULL DOWN,13.695431875510646,88.67,ELEVATED,ELEVATED,posture,35.195523633207564,posture:35.20% | seat_performance:27.89% | seat_track_position:15.94%,ELEVATED: posture dominates anomaly (35.2% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:13,OCC-00000014,SIM-719914,OCC-15313949,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT AT MIDDLE TRACK POSITION,BUCKET,NO FAILURE,LAP AND SHOULDER,NO FAILURE,FULL UP,5.8229677222723835,7.22,BASELINE,LOW,seat_track_position,37.49866970083173,seat_track_position:37.50% | belt_anchorage:24.46% | seat_position:11.55%,BASELINE: seat track position dominates anomaly (37.5% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:14,OCC-00000015,SIM-349384,OCC-49433050,FRONT RIGHT SIDE,PASSENGER,NORMAL POSTURE,SEAT AT FORWARD MOST POSITION,BUCKET WITH FOLD BACK,NO FAILURE,LAP AND SHOULDER,NO FAILURE,NO UPPER ANCHOR,10.675656051696466,63.470000000000006,MODERATE,MODERATE,seat_track_position,50.765394325836944,seat_track_position:50.77% | seat_type:21.75% | seat_position:21.09%,MODERATE: seat track position dominates anomaly (50.8% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:15,OCC-00000016,SIM-316563,OCC-72009776,SECOND RIGHT,PASSENGER,OTHER ABNORMAL POSTURE,NOT ADJUSTABLE SEAT TRACK,BENCH,NO FAILURE,LAP AND SHOULDER,NO FAILURE,NO UPPER ANCHOR,9.16067411113622,46.795,BASELINE,MODERATE,seat_position,42.24656012214425,seat_position:42.25% | posture:20.46% | seat_type:20.09%,BASELINE: seat position dominates anomaly (42.2% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:16,OCC-00000017,SIM-748702,OCC-34793276,FRONT RIGHT SIDE,PASSENGER,NORMAL POSTURE,SEAT BETWEEN FORWARD AND MIDDLE,BUCKET,NO FAILURE,LAP AND SHOULDER,NO FAILURE,FULL UP,8.96616429315149,42.39,BASELINE,MODERATE,seat_track_position,42.41353835073027,seat_track_position:42.41% | seat_position:25.11% | belt_anchorage:15.88%,BASELINE: seat track position dominates anomaly (42.4% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
2026-01-01T00:00:17,OCC-00000018,SIM-665476,OCC-46211841,FRONT LEFT SIDE,DRIVER,NORMAL POSTURE,SEAT AT REAR MOST POSITION,BUCKET,DEFORMED BY INTRUSION,LAP AND SHOULDER,NO FAILURE,MID POSITION,9.280162421472612,48.095,BASELINE,MODERATE,belt_anchorage,32.37457630645549,belt_anchorage:32.37% | seat_performance:27.27% | seat_track_position:21.82%,BASELINE: belt anchorage dominates anomaly (32.4% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1
