vehicle_id,occupant_event_count,vehicle_total_surprisal_bits,vehicle_mean_surprisal_bits,vehicle_median_surprisal_bits,vehicle_max_surprisal_bits,vehicle_anomaly_severity,critical_occupant_count,high_occupant_count,elevated_occupant_count,moderate_occupant_count,low_occupant_count,dominant_vehicle_contributor,dominant_vehicle_contributor_count,dominant_vehicle_contributor_percent,max_anomaly_event_id,max_anomaly_occupant_id,max_anomaly_tier,max_anomaly_signature,source_type,source_reference,model_type,model_version,vehicle_anomaly_index,vehicle_anomaly_signature
SIM-100028,1,12.354956788201,12.354956788201,12.354956788201,12.354956788201,ELEVATED,0,0,1,0,0,seat_performance,1,100.0,OCC-00009268,OCC-35253278,ELEVATED,ELEVATED: seat performance dominates anomaly (28.7% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,32.50793695641747,"ELEVATED: seat performance dominates vehicle anomaly; 1 occupant event(s), maximum surprisal 12.35 bits"
SIM-100168,1,7.688404608616672,7.688404608616672,7.688404608616672,7.688404608616672,LOW,0,0,0,0,1,seat_performance,1,100.0,OCC-00006444,OCC-25056691,BASELINE,BASELINE: seat performance dominates anomaly (31.6% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,10.628443085714022,"LOW: seat performance dominates vehicle anomaly; 1 occupant event(s), maximum surprisal 7.69 bits"
SIM-100207,1,7.403207812751137,7.403207812751137,7.403207812751137,7.403207812751137,LOW,0,0,0,0,1,belt_anchorage,1,100.0,OCC-00009299,OCC-92345576,BASELINE,BASELINE: belt anchorage dominates anomaly (40.6% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,9.291275663825244,"LOW: belt anchorage dominates vehicle anomaly; 1 occupant event(s), maximum surprisal 7.40 bits"
SIM-100224,1,9.845272675513696,9.845272675513696,9.845272675513696,9.845272675513696,MODERATE,0,0,0,1,0,seat_position,1,100.0,OCC-00003352,OCC-65104816,MODERATE,MODERATE: seat position dominates anomaly (58.1% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,20.74108724643848,"MODERATE: seat position dominates vehicle anomaly; 1 occupant event(s), maximum surprisal 9.85 bits"
SIM-100277,1,7.66472802833248,7.66472802833248,7.66472802833248,7.66472802833248,LOW,0,0,0,0,1,belt_anchorage,1,100.0,OCC-00006893,OCC-66687225,BASELINE,BASELINE: belt anchorage dominates anomaly (39.2% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,10.51743359235112,"LOW: belt anchorage dominates vehicle anomaly; 1 occupant event(s), maximum surprisal 7.66 bits"
SIM-100342,1,9.785684786507192,9.785684786507192,9.785684786507192,9.785684786507192,MODERATE,0,0,0,1,0,posture,1,100.0,OCC-00007065,OCC-61823929,MODERATE,MODERATE: posture dominates anomaly (30.7% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,20.461704781159344,"MODERATE: posture dominates vehicle anomaly; 1 occupant event(s), maximum surprisal 9.79 bits"
SIM-100411,1,8.066964245388235,8.066964245388235,8.066964245388235,8.066964245388235,MODERATE,0,0,0,1,0,seat_track_position,1,100.0,OCC-00001677,OCC-76049542,BASELINE,BASELINE: seat track position dominates anomaly (32.8% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,12.403349469205251,"MODERATE: seat track position dominates vehicle anomaly; 1 occupant event(s), maximum surprisal 8.07 bits"
SIM-100486,1,10.682042326645393,10.682042326645393,10.682042326645393,10.682042326645393,MODERATE,0,0,0,1,0,seat_position,1,100.0,OCC-00001225,OCC-30787443,MODERATE,MODERATE: seat position dominates anomaly (53.5% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,24.66434702122951,"MODERATE: seat position dominates vehicle anomaly; 1 occupant event(s), maximum surprisal 10.68 bits"
SIM-100514,1,9.99054668610243,9.99054668610243,9.99054668610243,9.99054668610243,MODERATE,0,0,0,1,0,belt_anchorage,1,100.0,OCC-00009211,OCC-44884833,MODERATE,MODERATE: belt anchorage dominates anomaly (32.1% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,21.422215776009924,"MODERATE: belt anchorage dominates vehicle anomaly; 1 occupant event(s), maximum surprisal 9.99 bits"
SIM-100582,1,13.6772022544938,13.6772022544938,13.6772022544938,13.6772022544938,ELEVATED,0,0,1,0,0,seat_performance,1,100.0,OCC-00003644,OCC-43172137,ELEVATED,ELEVATED: seat performance dominates anomaly (62.2% contribution),SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,38.70738795621229,"ELEVATED: seat performance dominates vehicle anomaly; 1 occupant event(s), maximum surprisal 13.68 bits"
