event_time,event_id,vehicle_id,occupant_id,seat_location_id,seat_position,occupant_role,seat_track_position,seat_type,posture,belt_use,belt_anchorage,belt_failure,belt_availability,seat_performance,source_type,source_reference,model_type,model_version,geometry_status,temporal_status,seat_position_probability,seat_position_surprisal_bits,occupant_role_probability,occupant_role_surprisal_bits,seat_track_position_probability,seat_track_position_surprisal_bits,seat_type_probability,seat_type_surprisal_bits,posture_probability,posture_surprisal_bits,belt_use_probability,belt_use_surprisal_bits,belt_anchorage_probability,belt_anchorage_surprisal_bits,belt_failure_probability,belt_failure_surprisal_bits,belt_availability_probability,belt_availability_surprisal_bits,seat_performance_probability,seat_performance_surprisal_bits,occupant_anomaly_score_bits,joint_probability,dominant_contributor,dominant_contributor_score_bits,occupant_anomaly_percentile,anomaly_tier
2026-01-01T00:00:00,OCC-00000001,SIM-866665,OCC-26104133,SEAT-1237,FRONT LEFT SIDE,DRIVER,SEAT AT REAR MOST POSITION,BUCKET,NOT COLLECTED/UNKNOWN,LAP AND SHOULDER,FULL UP,NO FAILURE,LAP AND SHOULDER BELT,NO FAILURE,SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,NOT_PROVIDED,SYNTHETIC_EVENT_TIME,0.6272905759162304,0.672794206367598,1.0,-0.0,0.245696400625978,2.025051372055368,0.772823779193206,0.3717886094140868,0.1483516483516483,2.752907138035228,0.760989010989011,0.394052474149508,0.3726328649969456,1.424173174023905,0.9883355764917005,0.016927121558869114,1.0,-0.0,0.6840659340659341,0.5477927081306153,8.205486803735178,0.0033876797104406783,posture,2.752907138035228,35.215,BASELINE
2026-01-01T00:00:01,OCC-00000002,SIM-675921,OCC-35424922,SEAT-6722,FRONT RIGHT SIDE,PASSENGER,SEAT BETWEEN MIDDLE AND REAR,BUCKET,NORMAL POSTURE,LAP AND SHOULDER,FULL DOWN,NO FAILURE,LAP AND SHOULDER BELT,NO FAILURE,SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,NOT_PROVIDED,SYNTHETIC_EVENT_TIME,0.2100785340314136,2.2509993409134457,1.0,-0.0,0.3302180685358255,1.598509032559104,0.8254716981132075,0.2767093427308704,0.8228571428571428,0.28128611039001644,0.84,0.25153876699596445,0.3457544288332315,1.5321803636422713,0.9883355764917005,0.016927121558869114,1.0,-0.0,0.6285714285714286,0.6698513983076693,6.878001477098212,0.008501885370923456,seat_position,2.2509993409134457,15.434999999999999,BASELINE
2026-01-01T00:00:02,OCC-00000003,SIM-847268,OCC-11155643,SEAT-5191,FRONT LEFT SIDE,DRIVER,SEAT BETWEEN FORWARD AND MIDDLE,BUCKET,NORMAL POSTURE,LAP AND SHOULDER,NO UPPER ANCHOR,NO FAILURE,LAP AND SHOULDER BELT,NO FAILURE,SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,NOT_PROVIDED,SYNTHETIC_EVENT_TIME,0.6272905759162304,0.672794206367598,1.0,-0.0,0.1601460615545122,2.642539776297972,0.8436482084690554,0.24528655768362542,0.8764478764478765,0.19025980039563886,0.8455598455598455,0.2420212280853805,0.1081246182040317,3.209233056391157,0.9883355764917005,0.016927121558869114,1.0,-0.0,0.637065637065637,0.6504860734407383,7.86954782022098,0.0042759247514067445,belt_anchorage,3.209233056391157,31.455,BASELINE
2026-01-01T00:00:03,OCC-00000004,SIM-502931,OCC-51683140,SEAT-9520,FRONT LEFT SIDE,DRIVER,SEAT BETWEEN MIDDLE AND REAR,BUCKET,NORMAL POSTURE,LAP AND SHOULDER,FULL DOWN,NO FAILURE,LAP AND SHOULDER BELT,NO FAILURE,SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,NOT_PROVIDED,SYNTHETIC_EVENT_TIME,0.6272905759162304,0.672794206367598,1.0,-0.0,0.2837767344809598,1.8171717804178114,0.8143382352941176,0.2962999526953211,0.8623024830699775,0.21373406051926952,0.7878103837471784,0.34407966234536597,0.3457544288332315,1.5321803636422713,0.9883355764917005,0.016927121558869114,1.0,-0.0,0.6433408577878104,0.6363447795029143,5.529531927049421,0.021649358292320106,seat_track_position,1.8171717804178114,3.325,BASELINE
2026-01-01T00:00:04,OCC-00000005,SIM-525484,OCC-62202560,SEAT-6639,FRONT RIGHT SIDE,PASSENGER,SEAT BETWEEN FORWARD AND MIDDLE,BUCKET,NORMAL POSTURE,LAP AND SHOULDER,FULL UP,NO FAILURE,LAP AND SHOULDER BELT,NO FAILURE,SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,NOT_PROVIDED,SYNTHETIC_EVENT_TIME,0.2100785340314136,2.2509993409134457,1.0,-0.0,0.0716510903426791,3.802867531065291,0.8260869565217391,0.27563444261342734,0.868421052631579,0.203533394085132,0.868421052631579,0.203533394085132,0.3726328649969456,1.424173174023905,0.9883355764917005,0.016927121558869114,1.0,-0.0,0.5789473684210527,0.7884958948062882,8.96616429315149,0.0019994732657483863,seat_track_position,3.802867531065291,42.39,BASELINE
2026-01-01T00:00:05,OCC-00000006,SIM-270015,OCC-81740407,SEAT-1016,FRONT RIGHT SIDE,PASSENGER,SEAT AT REAR MOST POSITION,BUCKET,NORMAL POSTURE,NONE USED/AVAILABLE,POSITION UNKNOWN,NOT USED/AVAILABLE,LAP AND SHOULDER BELT,NO FAILURE,SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,NOT_PROVIDED,SYNTHETIC_EVENT_TIME,0.2100785340314136,2.2509993409134457,1.0,-0.0,0.322429906542056,1.6329425296229783,0.7729468599033816,0.3715588626119629,0.8,0.3219280948873623,0.18125,2.4639470997597903,0.0278481012658227,5.166277224427172,1.0,-0.0,1.0,-0.0,0.61875,0.6925714748077527,12.900224627030465,0.00013081135264099634,belt_anchorage,5.166277224427172,83.56,ELEVATED
2026-01-01T00:00:06,OCC-00000007,SIM-763266,OCC-38281431,SEAT-4419,FRONT LEFT SIDE,DRIVER,SEAT BETWEEN MIDDLE AND REAR,BUCKET WITH FOLD BACK,NORMAL POSTURE,LAP AND SHOULDER,NO UPPER ANCHOR,NO FAILURE,LAP AND SHOULDER BELT,NO FAILURE,SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,NOT_PROVIDED,SYNTHETIC_EVENT_TIME,0.6272905759162304,0.672794206367598,1.0,-0.0,0.2837767344809598,1.8171717804178114,0.09375,3.415037499278844,0.8627450980392157,0.21299372333419825,0.7450980392156863,0.42449782852791007,0.6301369863013698,0.6662626028230044,0.9883355764917005,0.016927121558869114,1.0,-0.0,0.7058823529411765,0.5025003405291831,7.728185102837418,0.004716115927448164,seat_type,3.415037499278844,29.185,BASELINE
2026-01-01T00:00:07,OCC-00000008,SIM-610344,OCC-19189940,SEAT-7045,FRONT LEFT SIDE,DRIVER,NOT COLLECTED/UNKNOWN,UNKNOWN/UNMAPPED,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,NOT COLLECTED/UNKNOWN,UNKNOWN/UNMAPPED,SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,NOT_PROVIDED,SYNTHETIC_EVENT_TIME,0.6272905759162304,0.672794206367598,1.0,-0.0,0.0276473656755346,5.176714167104956,0.3962264150943396,1.335603031784439,1.0,-0.0,0.8571428571428571,0.22239242133644802,1.0,-0.0,0.9761904761904762,0.03476541816067664,0.24,2.0588936890535687,1.0,-0.0,9.501162933807686,0.001379955123410616,seat_track_position,5.176714167104956,51.635,MODERATE
2026-01-01T00:00:08,OCC-00000009,SIM-329526,OCC-94790877,SEAT-3202,FRONT RIGHT SIDE,PASSENGER,SEAT AT REAR MOST POSITION,BUCKET WITH FOLD BACK,NORMAL POSTURE,LAP AND SHOULDER,NO UPPER ANCHOR,NO FAILURE,LAP AND SHOULDER BELT,DEFORMED BY OTHER OCCUPANT,SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,NOT_PROVIDED,SYNTHETIC_EVENT_TIME,0.2100785340314136,2.2509993409134457,1.0,-0.0,0.322429906542056,1.6329425296229783,0.1159420289855072,3.1085244567781696,0.9166666666666666,0.12553088208385899,0.7083333333333334,0.4974996594708167,0.6301369863013698,0.6662626028230044,0.9883355764917005,0.016927121558869114,1.0,-0.0,0.0416666666666666,4.584962500721159,12.883649093972302,0.00013232294837098394,seat_performance,4.584962500721159,83.42,ELEVATED
2026-01-01T00:00:09,OCC-00000010,SIM-808953,OCC-23065633,SEAT-7893,FRONT LEFT SIDE,DRIVER,SEAT BETWEEN MIDDLE AND REAR,BUCKET,NORMAL POSTURE,LAP AND SHOULDER,FULL DOWN,NO FAILURE,LAP AND SHOULDER BELT,DEFORMED BY OCCUPANT,SYNTHETIC_FROM_CIREN_EMPIRICAL_MODEL,NHTSA CIREN Public Data v1.2.1 / OA,DEPENDENCY_AWARE_EMPIRICAL,CIREN-DAM-v1,NOT_PROVIDED,SYNTHETIC_EVENT_TIME,0.6272905759162304,0.672794206367598,1.0,-0.0,0.2837767344809598,1.8171717804178114,0.8143382352941176,0.2962999526953211,0.8623024830699775,0.21373406051926952,0.7878103837471784,0.34407966234536597,0.3457544288332315,1.5321803636422713,0.9883355764917005,0.016927121558869114,1.0,-0.0,0.1128668171557562,3.1473066987802936,8.0404938463268,0.0037981330337403694,seat_performance,3.1473066987802936,34.12,BASELINE
